Year,Avg_Wage
1980-01-01,12513.46
1981-01-01,13773.1
1982-01-01,14531.34
1983-01-01,15239.24
1984-01-01,16135.07
1985-01-01,16822.51
1986-01-01,17321.82
1987-01-01,18426.51
1988-01-01,19334.04
1989-01-01,20099.55
1990-01-01,21027.98
1991-01-01,21811.6
1992-01-01,22935.42
1993-01-01,23132.67
1994-01-01,23753.53
1995-01-01,24705.66
1996-01-01,25913.9
1997-01-01,27426.0
1998-01-01,28861.44
1999-01-01,30469.84
2000-01-01,32154.82
2001-01-01,32921.92
2002-01-01,33252.09
2003-01-01,34064.95
2004-01-01,35648.55
2005-01-01,36952.94
2006-01-01,38651.41
2007-01-01,40405.48
2008-01-01,41334.97
2009-01-01,40711.61
2010-01-01,41673.83
2011-01-01,42979.61
2012-01-01,44321.67
2013-01-01,44888.16
2014-01-01,46481.52
2015-01-01,48098.63
2016-01-01,48642.15
2017-01-01,50321.89
2018-01-01,52145.8
2019-01-01,54099.99
2020-01-01,55628.6
2021-01-01,60575.07
2022-01-01,63795.13
2023-01-01,66621.8
2024-01-01,69846.57
